trip_id,start_time,end_time,headway_secs
854D2V,20:53:00,21:14:00,1260
854D2V,21:14:00,21:36:00,1320
854D2V,21:36:00,21:58:00,1320
854D2V,21:58:00,22:20:00,1320
854D0I,6:35:00,6:54:00,1140
854D0I,6:54:00,8:23:00,763
854D0I,8:23:00,21:24:00,527
854D0I,21:24:00,22:20:00,780
854D0V,6:00:00,6:20:00,1200
854D0V,6:20:00,22:20:00,541
854D1I,6:35:00,7:11:00,2160
854D1I,7:11:00,7:47:00,2160
854D1I,7:47:00,8:09:00,1320
854D1I,8:09:00,8:28:00,1140
854D1I,8:28:00,22:20:00,925
854D1V,6:30:00,7:12:00,2520
854D1V,7:12:00,7:32:00,1200
854D1V,7:32:00,22:20:00,935
851D2I,7:30:00,8:00:00,1800
851D2I,8:00:00,8:30:00,1800
851D2I,8:30:00,8:46:00,960
851D2I,8:46:00,14:42:00,890
851D2I,14:42:00,22:20:00,1056
851D2V,7:00:00,7:30:00,1800
851D2V,7:30:00,8:00:00,1800
851D2V,8:00:00,8:16:00,960
851D2V,8:16:00,14:43:00,860
851D2V,14:43:00,22:20:00,1013
851D0I,6:15:00,6:35:00,1200
851D0I,6:35:00,7:47:00,720
851D0I,7:47:00,22:08:00,574
851D0I,22:08:00,22:25:00,1020
851D0V,5:45:00,6:03:00,1080
851D0V,6:03:00,22:05:00,608
851D0V,22:05:00,22:25:00,1200
851D1I,6:15:00,6:50:00,2100
851D1I,6:50:00,7:15:00,1500
851D1I,7:15:00,7:33:00,1080
851D1I,7:33:00,21:40:00,800
851D1I,21:40:00,22:02:00,1320
851D1I,22:02:00,22:25:00,1380
851D1V,5:45:00,6:20:00,2100
851D1V,6:20:00,6:45:00,1500
851D1V,6:45:00,7:03:00,1080
851D1V,7:03:00,22:20:00,815
827D0I,7:05:00,7:35:00,1800
827D0I,7:35:00,7:53:00,1080
827D0I,7:53:00,22:30:00,784
827D0V,6:30:00,7:00:00,1800
827D0V,7:00:00,7:16:00,960
827D0V,7:16:00,22:00:00,790
827D0V,22:00:00,22:25:00,1500
852D2I,7:45:00,8:35:00,3000
852D2I,8:35:00,9:05:00,1800
852D2I,9:05:00,9:25:00,1200
852D2I,9:25:00,22:25:00,1060
852D2V,7:20:00,8:10:00,3000
852D2V,8:10:00,8:35:00,1500
852D2V,8:35:00,8:58:00,1380
852D2V,8:58:00,9:16:00,1080
852D2V,9:16:00,22:15:00,1035
852D0I,7:10:00,7:27:00,1020
852D0I,7:27:00,21:53:00,749
852D0I,21:53:00,22:15:00,1320
852D0V,6:45:00,7:00:00,900
852D0V,7:00:00,22:20:00,744
852D1I,7:45:00,8:08:00,1380
852D1I,8:08:00,8:23:00,900
852D1I,8:23:00,22:15:00,791
852D1V,7:20:00,7:50:00,1800
852D1V,7:50:00,8:10:00,1200
852D1V,8:10:00,22:15:00,786
714D2I,6:55:00,7:50:00,3300
714D2I,7:50:00,8:28:00,2280
714D2I,8:28:00,8:48:00,1200
714D2I,8:48:00,22:00:00,992
714D2V,6:30:00,7:25:00,3300
714D2V,7:25:00,8:00:00,2100
714D2V,8:00:00,8:20:00,1200
714D2V,8:20:00,22:05:00,1006
714D0I,6:05:00,6:30:00,1500
714D0I,6:30:00,6:54:00,1440
714D0I,6:54:00,7:09:00,900
714D0I,7:09:00,22:05:00,648
714D0V,5:40:00,6:05:00,1500
714D0V,6:05:00,6:25:00,1200
714D0V,6:25:00,22:15:00,652
714D1I,6:05:00,7:01:00,3360
714D1I,7:01:00,7:22:00,1260
714D1I,7:22:00,7:42:00,1200
714D1I,7:42:00,22:00:00,919
714D1V,5:40:00,6:35:00,3300
714D1V,6:35:00,6:55:00,1200
714D1V,6:55:00,22:05:00,921
845D0I,6:35:00,7:00:00,1500
845D0I,7:00:00,7:15:00,900
845D0I,7:15:00,19:20:00,821
845D0I,19:20:00,21:01:00,1215
845D0I,21:01:00,21:23:00,1320
845D0I,21:23:00,21:45:00,1320
845D0I,21:45:00,22:15:00,1800
845D0V,6:30:00,6:45:00,900
845D0V,6:45:00,20:00:00,808
845D0V,20:00:00,20:40:00,1200
845D0V,20:40:00,21:05:00,1500
845D0V,21:05:00,21:37:00,1920
845D0V,21:37:00,22:10:00,1980
391D2I,7:30:00,7:48:00,1080
391D2I,7:48:00,22:20:00,649
391D2V,7:00:00,7:18:00,1080
391D2V,7:18:00,22:20:00,647
391D0I,6:15:00,6:32:00,1020
391D0I,6:32:00,7:50:00,780
391D0I,7:50:00,22:20:00,525
391D0V,6:00:00,6:17:00,1020
391D0V,6:17:00,8:02:00,573
391D0V,8:02:00,22:10:00,519
391D0V,22:10:00,22:20:00,600
